CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,Female,18.65,26.01,30.21
2,Male,18.8,27.98,29.31
3,Male,19.91,22.39,33.2
4,Female,20.25,26.84,33.32
5,Female,20.6,27.1,23.42
6,Male,24.29,16.11,18.1
7,Male,18.95,26.24,23.81
8,Female,18.0,17.91,17.97
9,Male,23.61,32.06,26.71
10,Female,20.98,21.74,19.69
11,Male,23.39,26.38,21.91
12,Female,18.0,30.24,20.02
13,Female,18.0,20.28,23.67
14,Male,18.0,20.61,24.88
15,Male,23.78,22.12,26.26
16,Female,18.61,32.64,32.0
17,Female,20.39,19.21,25.98
18,Male,24.8,24.15,25.73
19,Male,18.73,24.67,26.34
20,Female,19.73,24.28,33.56
21,Male,23.15,24.51,33.27
22,Male,26.17,21.86,24.12
23,Male,19.93,20.47,26.38
24,Male,22.67,23.23,24.36
25,Female,30.53,15.38,26.02
26,Female,18.0,32.92,25.6
27,Female,22.18,21.52,29.63
28,Male,27.26,22.61,25.51
29,Female,20.92,21.43,34.43
30,Male,20.26,26.31,30.32
31,Female,19.09,19.5,24.46
32,Female,23.21,17.94,21.94
33,Male,27.08,26.8,27.84
34,Male,23.23,24.79,36.78
35,Male,29.02,20.88,22.9
36,Female,23.74,30.04,27.77
37,Female,25.96,25.89,32.47
38,Female,29.8,26.24,28.72
39,Female,18.0,21.04,25.32
40,Female,18.0,20.06,24.95
41,Female,18.16,24.02,23.17
42,Female,18.0,20.36,17.79
43,Female,29.92,24.24,25.61
44,Female,22.1,27.51,22.61
45,Female,26.1,28.66,26.29
46,Female,22.9,24.43,26.37
47,Male,22.18,24.31,18.27
48,Male,18.0,25.32,22.44
49,Male,18.0,25.09,27.96
50,Female,18.1,19.96,28.3
51,Female,18.0,17.23,19.23
52,Male,31.89,29.0,27.11
53,Male,19.94,23.03,27.26
54,Male,18.0,22.11,20.03
55,Male,23.69,26.92,25.27
56,Male,22.2,28.74,23.41
57,Male,18.23,29.89,20.28
58,Male,20.07,24.38,21.85
59,Female,26.43,18.67,28.16
60,Female,24.38,30.22,23.27
61,Female,22.46,20.54,18.04
62,Female,23.33,25.48,28.35
63,Male,22.68,22.55,25.52
64,Male,18.0,27.78,18.71
65,Female,25.81,38.09,17.78
66,Female,19.73,32.51,23.59
67,Male,22.93,27.22,22.46
68,Female,20.52,23.77,23.31
69,Female,23.43,27.69,26.51
70,Male,18.0,24.52,25.37
71,Male,25.58,24.57,19.13
72,Female,25.0,31.69,25.81
73,Male,18.0,23.43,27.12
74,Male,23.56,30.38,31.66
75,Male,20.41,25.86,24.07
76,Male,21.48,24.58,30.87
77,Male,18.0,24.38,21.57
78,Female,21.81,25.82,17.13
79,Male,18.0,25.74,28.25
80,Male,21.09,20.97,19.94
81,Female,22.41,27.72,28.82
82,Male,23.3,31.63,20.61
83,Male,20.93,29.3,27.68
84,Male,18.0,25.68,27.72
85,Female,19.91,29.78,26.02
86,Male,20.68,21.69,23.17
87,Male,18.0,21.88,18.75
88,Female,30.14,20.78,26.76
89,Male,23.45,20.82,22.73
90,Female,24.84,21.24,23.64
91,Female,29.67,25.14,28.18
92,Male,18.0,24.4,15.65
93,Female,25.33,23.13,22.79
94,Female,28.95,27.8,27.06
95,Male,28.46,24.05,26.86
96,Male,20.45,29.75,18.43
97,Female,24.44,32.16,28.96
98,Female,18.0,22.66,24.16
99,Female,19.22,33.51,34.28
100,Female,18.85,24.02,28.38
101,Male,22.07,24.61,29.18
102,Female,22.92,28.51,27.82
103,Male,25.76,17.74,17.01
104,Male,26.11,19.42,26.44
105,Male,22.65,24.41,25.31
106,Female,28.07,24.63,16.36
107,Male,20.32,17.14,21.17
108,Female,21.43,27.52,22.93
109,Male,18.0,22.64,22.32
110,Male,20.94,26.29,20.88
111,Male,28.4,22.65,22.5
112,Female,18.61,30.63,19.2
113,Female,23.36,21.27,32.86
114,Female,24.84,21.03,21.25
115,Female,19.88,16.29,21.48
116,Male,20.41,24.93,23.26
117,Male,18.5,28.43,22.57
118,Female,23.96,31.78,16.67
119,Male,24.5,24.87,23.53
120,Female,26.36,27.19,16.46
121,Male,20.29,21.18,24.27
122,Male,19.96,28.08,22.23
123,Male,18.0,28.16,27.0
124,Male,25.81,26.09,25.67
125,Female,26.74,20.32,30.42
126,Female,21.8,19.91,21.67
127,Female,25.58,28.59,22.67
128,Female,24.51,16.95,33.71
129,Female,25.85,31.85,34.74
130,Female,24.91,17.91,26.23
131,Male,18.0,28.17,24.81
132,Male,18.47,15.76,22.28
133,Male,26.19,26.39,20.76
134,Male,25.63,43.78,69.6
135,Female,33.64,48.57,69.85
136,Female,33.73,42.78,74.94
137,Male,42.87,46.61,78.65
138,Male,28.6,37.42,76.94
139,Male,29.67,41.95,69.8
140,Male,30.57,43.31,71.07
141,Male,36.01,42.38,74.61
142,Female,36.69,41.34,76.65
143,Female,27.26,40.64,77.94
144,Male,26.39,44.22,70.18
145,Male,34.62,44.57,76.22
146,Female,28.94,48.07,82.55
147,Female,27.83,50.04,73.89
148,Male,35.56,48.35,72.64
149,Female,32.91,40.93,79.18
150,Male,35.56,43.82,77.9
151,Female,27.97,49.93,75.36
152,Female,34.21,51.93,84.79
153,Male,26.88,52.76,78.55
154,Male,31.46,51.34,72.93
155,Female,30.1,50.46,77.5
156,Female,33.43,45.29,81.41
157,Female,36.09,53.6,81.89
158,Female,28.55,40.57,77.27
159,Female,30.33,47.02,64.98
160,Female,27.43,43.46,71.82
161,Female,26.65,56.47,77.2
162,Female,25.06,52.36,77.75
163,Male,22.44,49.65,75.96
164,Female,24.19,41.11,78.34
165,Female,22.42,39.56,69.06
166,Male,28.58,46.72,87.84
167,Female,30.23,43.59,70.37
168,Male,24.11,37.9,70.88
169,Male,28.43,42.48,76.09
170,Female,31.77,53.81,71.25
171,Female,33.24,38.27,83.81
172,Female,27.75,47.93,72.24
173,Male,32.38,48.09,74.28
174,Female,27.46,48.63,76.37
175,Female,27.41,49.53,72.51
176,Male,22.95,47.8,73.93
177,Male,33.9,48.64,80.7
178,Female,36.91,47.37,74.0
179,Male,22.83,42.04,73.3
180,Female,27.42,46.53,76.55
181,Female,27.98,43.21,72.2
182,Female,21.82,45.4,67.27
183,Male,31.97,40.41,76.84
184,Female,31.09,47.71,80.69
185,Female,32.79,44.63,73.31
186,Male,27.6,49.69,65.45
187,Male,27.73,49.61,80.38
188,Female,33.3,39.77,75.83
189,Female,27.46,47.6,75.21
190,Female,39.35,48.08,77.7
191,Male,38.65,41.55,64.79
192,Female,38.92,46.0,75.19
193,Female,30.21,44.12,76.98
194,Female,29.35,50.04,74.09
195,Male,33.52,44.27,71.3
196,Male,34.62,45.79,79.07
197,Male,32.77,52.57,79.11
198,Male,30.79,43.19,73.46
199,Female,25.12,39.93,75.51
200,Male,30.58,39.43,74.6
201,Male,30.21,41.75,74.87
202,Female,36.83,48.94,73.86
203,Male,25.22,41.6,72.58
204,Male,32.22,45.73,77.23
205,Male,27.78,48.55,74.86
206,Male,30.2,47.84,73.3
207,Male,32.28,51.17,70.63
208,Male,25.82,46.59,77.17
209,Female,27.91,47.01,72.88
210,Female,35.12,44.92,79.58
211,Male,35.59,52.19,79.48
212,Male,30.61,45.85,78.75
213,Female,35.58,50.37,75.03
214,Female,27.1,42.55,71.93
215,Male,28.6,42.37,76.4
216,Male,27.02,45.87,78.37
217,Male,28.54,42.16,74.26
218,Female,25.29,39.58,73.17
219,Male,32.43,46.03,71.22
220,Female,27.72,48.51,76.47
221,Male,29.39,43.29,70.7
