CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,Female,26.11,19.97,20.42
2,Male,22.93,24.93,21.06
3,Female,22.57,22.8,20.59
4,Male,19.93,27.7,18.69
5,Female,18.0,20.66,25.19
6,Female,18.58,17.06,20.25
7,Female,29.88,20.55,19.5
8,Male,21.16,20.59,21.65
9,Female,23.09,25.5,21.98
10,Female,21.37,21.77,19.71
11,Male,22.12,22.97,15.25
12,Female,20.6,20.75,14.95
13,Male,18.54,27.16,20.65
14,Female,18.0,15.0,23.08
15,Male,20.77,25.28,18.22
16,Female,18.67,20.37,24.34
17,Male,25.64,21.95,23.58
18,Female,23.07,21.58,23.51
19,Male,25.82,16.95,14.16
20,Female,21.06,23.36,17.44
21,Male,20.8,23.18,14.42
22,Male,19.84,30.5,23.4
23,Female,24.25,19.5,16.81
24,Female,18.88,27.63,18.32
25,Female,28.21,23.89,19.43
26,Female,18.0,15.0,20.97
27,Female,26.4,28.73,19.22
28,Male,18.35,21.58,18.62
29,Male,23.17,23.92,21.85
30,Female,20.22,18.83,13.69
31,Female,18.96,24.92,14.36
32,Male,26.86,22.09,20.1
33,Male,19.72,26.76,21.66
34,Female,21.36,19.52,23.08
35,Female,18.21,17.13,22.06
36,Female,20.57,23.41,19.59
37,Male,18.65,16.94,23.58
38,Male,21.91,21.08,23.43
39,Female,18.0,21.5,15.33
40,Male,18.0,20.23,22.73
41,Male,22.88,21.22,21.95
42,Female,19.9,23.77,16.2
43,Male,18.89,18.97,18.69
44,Male,23.68,19.59,19.8
45,Male,20.66,17.89,30.87
46,Female,23.86,31.32,20.94
47,Male,19.81,21.02,13.18
48,Female,27.06,25.18,16.06
49,Female,22.53,25.96,26.89
50,Male,22.29,20.52,16.59
51,Female,26.42,29.42,22.15
52,Female,20.98,21.62,21.2
53,Female,24.73,21.55,17.7
54,Male,22.5,19.49,22.53
55,Female,23.07,24.54,15.64
56,Male,22.95,24.8,21.14
57,Male,18.26,23.93,14.19
58,Male,23.41,23.51,14.22
59,Male,25.43,20.71,19.8
60,Male,22.62,24.56,14.52
61,Male,26.08,17.49,21.46
62,Male,22.61,21.66,22.61
63,Male,22.95,21.75,18.41
64,Male,24.88,18.62,21.1
65,Female,19.5,23.74,25.2
66,Female,21.41,25.12,24.69
67,Female,18.0,20.79,17.62
68,Female,23.01,25.53,21.19
69,Female,18.07,20.7,22.33
70,Male,31.86,31.07,77.81
71,Female,28.62,37.29,81.01
72,Female,23.22,30.79,78.29
73,Female,26.29,37.37,74.58
74,Male,26.07,28.39,77.21
75,Female,30.9,31.04,83.65
76,Male,28.18,35.1,74.91
77,Female,23.31,34.03,66.52
78,Female,29.3,30.79,80.85
79,Female,27.22,30.68,74.62
80,Female,26.85,37.02,74.65
81,Female,26.79,36.63,74.78
82,Female,31.08,36.0,69.24
83,Female,19.18,29.93,81.43
84,Male,31.75,40.84,78.39
85,Female,32.46,32.32,72.9
86,Male,32.46,35.13,79.21
87,Female,31.5,34.16,85.37
88,Female,29.63,32.35,78.97
89,Male,22.04,37.32,80.16
90,Male,30.75,32.27,73.01
91,Female,18.0,41.52,76.96
92,Male,29.35,35.84,80.2
93,Male,19.21,36.56,79.65
94,Male,26.36,35.55,73.75
95,Female,22.39,27.93,77.21
96,Male,23.52,34.0,80.46
97,Female,27.03,30.59,72.68
98,Female,22.89,38.74,77.0
99,Female,25.3,32.04,84.95
100,Male,23.99,45.79,74.18
101,Male,28.9,33.25,80.37
102,Female,31.43,31.64,80.65
103,Female,22.75,35.16,74.52
104,Male,24.39,38.18,82.91
105,Female,27.01,38.7,80.23
106,Female,26.33,36.19,77.78
107,Female,27.27,42.76,73.26
108,Male,25.83,33.65,75.72
109,Female,21.72,32.43,80.32
110,Female,30.95,40.46,75.91
